Abate,"subside , or moderate","            rebate means discount... i.e reducing the price..abate and rebate are rhyming words            ",            (Tag : ) abate which is rhyming with debate.Debate means raising(actually in discussion imagine that in every thing) just opposite to debate consider abate that is reduction in nature            ,Powered by Mnemonic Dictionary            ab ate mat karo abate your weight            
Amalgamate,combine; unite in one body,Powered by Mnemonic Dictionary            suppose you are shy girl and you have a+ male+game+mate (amalgamate)what you should do ? of course combine or unite with your mate against other groups            ,"            amalga+mate ,mate means combine........            ",            amalgamate: as we all know that AMALGAM is the alloy of mercury.and alloy means MIXING things together.SO AMALGAMATE means mixing or combining.             
Ambiguous,unclear or doubtful in meaning,            ambi means two/both..guous sounds like guess..both are wild guess so its doubtful            ,"            Ambi (am + bi) means 2 , while guous sounds like guess. So if 2 people guess on something, then it will make the subject doubtful or unclear.            ",            ambi means two...guous sounds like guess so it may have one or more meanings            
Ambivalence,"the state of having contradictory or conflicting emotionalattitudes","            matches with ""ambulance"" . In case of severe emergency, inside an ambulance, you have mixed emotions.. bachega ya nahi!            ",            I AM BI BALANCED..balaced on both sides            ,Powered by Mnemonic Dictionary            ambivalence ~ am (I) + bi (both) + value; I value both sides and hence have mixed feelings.            
Ameliorate,improve,Powered by Mnemonic Dictionary            Ameli (Imli) improves the taste of food.            ,"            In movie Amelie, Amelie tries to improve other's life.            ",            Take the suffix 'rate'. With the increase in product rate it's quality will also improve.            
Anachronism,something or someone misplaced in time,"            you know about chronometer- means clock. Anything with ""chron"" is related to time. Anachronisim-an+chron+ism> here an is used in negative sense> so anachronism means something or someone that is not in its correct time             ",            Anachronism = Ana + chron (chronology) + ism = A person or thing who is out of chornological order .i.e. Person belongs to earlier time.            ,"Powered by Mnemonic Dictionary            chronous(relating to time)as in synchronous.ana(not)chrounous(in time)            "
Analogous,comparable,Powered by Mnemonic Dictionary            remember analogous from analogy             ,"            ana""log""ous:in log tables all values seem similar            ",            We know analog watches >> their movement is similar to that of the earth >> time progresses as the earth moves in rotation.            
Anarchy,absence of governing body; state of disorder,"            Anarchy-Sounds like 'monarchy' (like tibet was ruled by monarchy)...so, absenceof government            ","            Anarchy = A + Narchy -> Narakh (like ""hell"" in hindi).. and in hell there is complete disorder and lawlessness.            ",            sounds like hierarchy take “a” as no hierarchy i.e state of  disorder            
Anomalous,abnormal; irregular,            anomalous means abnormal.  Think of abnormal when you read the word anomalous            ,"            anomalous behaviour of water with different forms as in solid liquid and gas... ice, water and vapours... so irregular in characteristics            ",            anomalous ~ a (not) + nomal (normal); someone who is not normal and hence abnormal or deviating from general.            
Antipathy,aversion; dislike,"Powered by Mnemonic Dictionary            CAN REMEMBER IT AS OPPOSITE OF sympathy.RHYMING n OPPOSITE WORDS - antipathy n sympathy            ",            antipathy-- anti + path.. not on the same path due to a feeling of intense dislike.            ,"            if u can remember this like anti-pathy(desi),then a person who is anti to her pathy,is an opposition in the house as she dislikes him..hehehe...            "
Apathy,lack of caring; indifference,"            consider pathy==sympathy,there are two words.1. antipathy = dislike2. apathy  = disinterestedSince ""anti"" is stronger than ""a""..disliking is 1 step above disinterested..            ",,            apathy sounds like chapathy means roti in hindi.so say i dont like chapathi i like breads only.            
Appease,pacify or soothe; relieve,Powered by Mnemonic Dictionary            appease…app(appeal)+pease(peace)        appeal for peace..…when war was going on in kasmir…our prime minister appealed  people to maintain peace in the region.            ,"            ease is somthing to pacify, soothing,very ease.            ",            when u drink appy(app) drink u feel ease and relieved..            
Apprise,inform,            one who will inform will get the prize            ,            when u get a ap + PRISE (PRIZE) ......SO WHEN U GET A PRIZE....YOU ARE INFORMED BY AUTHORITY OR NOTIFIED BY THE OFFICIALS THAT U HAVE TO BE PRESENT ON THAT DAY.            ,"            APPle+RISE......Instead of Sun, If you see an APPLE has risen...what will you do????? you will INFORM peopla, media etc to see the miracle!!!!!!            "
Approbation,approval,            Ap+PROBATION: You get CONFIRMATION/APPROVAL in your job after your Probation period            ,"            APPRO-bationsomething related to approve or approval            ",Powered by Mnemonic Dictionary            The employer was apprised by the manager that the chances of the employee being appraised in the next appraisal cycle  are at the discretion of the director's approbation.            
Arduous,hard; strenuous,"            arduous = read it as: ""hard to do for us""             ",Powered by Mnemonic Dictionary            (h)ard + u (you) + ous (we); This work is very difficult and required full of hard work from us and your side.            ,            aath(8)+dus(10):lot of hard work so v require 8 or ten ppl            
Artless,without guile; open and honest,            without the art of deception            ,"            art + less, without having any art(skill)            ",            artful is cunning artless is opposite of artful not cunning OR HONEST            
Ascetic,practicing self-denial; austere,            someone who leaves all AESTHETICs is an ascetic            ,"Powered by Mnemonic Dictionary            sounds like aceticâ€”remember acetic acid(vinegar)i.e., sour in taste, one who has made is life sour in taste, i.e., away from pleasures for religious purposes              ",            Aastic(Opposite of Nastic) Is ascetic            
Assiduous,diligent,            assiduous+ass+in+the+dust.a donkey working hard in the dust.meaning hard working or industrious or diligent            ,"Powered by Mnemonic Dictionary            if u get ""assi"" i.e 80%, u sure r a hardworkin nd ASSIduous :P            ","            as+Siduo+us: If you know the meaning of Sedulous, which means diligentm, hardworking. One can find the same word in Assiduous too. AS+SEDUOL+OUS.ASS is also a trigger, Hardworking as an ASS or a donkey            "
Attenuate,make thinner,            If tenu(=you) eat(ate) less you will attenuate            ,"            AT+TEN+YOU+ATE(gutkha,drugs)....if at the age of ten you start eating gutkha,drugs, you will become weaker day by day and will waste your life....            ","Powered by Mnemonic Dictionary            attenuate...A+tenu(TEND)+ate(past form of eat,eaten(P.P))..well if bacteria TEND TO EAT (degrade)your body,that is A indication of your weak IMMUNE SYSTEM.            "
Audacious,daring; bold,"            audacious..auda(AUDIBLE)....IF YOU WANT to be audible to millions of people you have to be very daring and bold ,to go to the stage and deliver your message.            ","            it sounds like ""how dare she is(audacious)""i.e au(how)da(dare)c(she)ious(is)..so it is daring            ",            when you go for some audition you need to be bold and daring.            
Austere,forbiddingly stern; severely simple and unornamented,            AUS-australia TERE-tear(sorrow). like the recent beatings of Australians in INDIA. so one should deny oneself from going there            ,            austere sounds like severe which it means            ,"            remember austin? I mean STONE COLD steve austin. he was harsh , severe and stern             "
Aver,"assert confidently or declare; as used in law, state formally asa fact",            A VERy confident statement!            ,            A(affirmative) version            ,            aver: I Svear! (I swear)            
Banal,hackneyed; commonplace; trite; lacking originality,            abey nal to roz hi kholte hain...            ,"            SPLIT INTO ba-nalba-BAR - COMMONPLACE FOR MEN TO MEET &NAL(HINDI - TAP) - COMMON PLACE FOR WOMEN TO MEET.            ",            'ban + al' --> 'ban all' those directors whose movies are 'banal' (the same old story lines are repeated ; (another meaning) dull and  unoriginal(dubbed))            
Belie,contradict; give a false impression,Powered by Mnemonic Dictionary            belie has lie.            ,            belie ~ lie means something false.            ,            be(make) lie. IF you make lies you will negate (or misrepresent) the truth.            
Bolster,support; reinforce,            RELATE TO BOLT>> USED TO SUPPORT OR REINFORCE            ,            read bolster as booster which mean giving extra energy and hence to support and strengthen someone or something.            ,Powered by Mnemonic Dictionary            usually when thr is a divan in the hall of a house...we place cushions and BOLSTERS (longer cushions)to sit comfortably and for back support             
Bombastic,pompous; using inflated language,            BOMBS and firecrackers are used to impress people and they cause high sound            ,"            bombaat- this word in kannada,somthing like a pompous speech,inflated language.            ","            similar to others above...The U.S. likes to BOMB bombastic dictators like Saddam Hussein            "
Boorish,rude; insensitive,            boor means =bura .... ill mannered... so make adj boorish..!..:)            ,Powered by Mnemonic Dictionary            every one sounds BOO towards RUDE and INSENSITIVE persons            ,            Hindi for old women is BOORI.Everyone feel rude and insensitive to the oldish (Hindi-booriSH)people.            
Burgeon,grow forth; send out buds,            Burge+on sounds like  Bulge which means growing big             ,            BARO(grow)+JIYO            ,"            burgeon ~ burger; If you eat a lot of burgers, you will gain weight (hence grow)            "
Burnish,make shiny by rubbing; polish,Powered by Mnemonic Dictionary            Remember Varnish - used on wooden things to make them shine            ,"            burnish-this brings us to the word ,cald furnish,ie , polishing and rubbing to make it shine..            ",            BURNT thing is polished TO MAKE it SHINY.            
Capricious,unpredictable; fickle,            ca(CAR) + PRIC(PRICE)...PRICE OF cars nowadays is becoming  unpredictable with the launch of Tata's 1 lakh car.            ,            CAPRICONS(SUN SIGN) ARE GENERALLY IMPULSIVE N UNPREDICTABLE PEOPLE            ,            Capricorn the goat(zodiac symbol) is capricious            
Castigation,punishment; severe criticism,            In olden days lower CAST people were severely criticized...             ,"            Castigated sounds similar to castrated, which would be a harsh punishment for any guy.            ",            due to the CASTe system there is so much agitATION....therefore it is under severe criticism            
Catalyst,agent that increases the pace of a chemical action,"            CATA(LOOK like CATION..ions which has positive charge)like mn+2  which is a cation ,and cations SPEED UP THE RATE OF REACTION,that is how they BRING A CHEMICAL CHANGE IN A REACTION.            ",            My new CAT caused A LIST (lyst) of things that suddenly changed in my life.            ,"            cat is a fast moving animal & we all know that catalyst is a chemistry word, v can assume that if we put catatalyst it will work as cat in chemistry..,.             "
Caustic,burning; sarcastically biting,"            caustic soda is very common and its ""harmful "" for health if taken in large quantity....therefore caustic means harmful or burning. Since its a soda its somehow related with chemistry as well..            ","            sounds like 'caution'... meaning, be careful, there is something..... that is corrosive... or... 'can cause corrosion'.            ","            In medical terms 'cauterize' is burning or sealing the ends of blood vessels/nerves similar to destroying; As far as speech, talking about the holoCAUST can be harsh            "
Chicanery,trickery; deception,            chicanery sounds like shikari who uses means of deception to trick animals into his traps.             ,            (In Hindi Language) chic(young girl0 + Nari(hindi) wat is a difference between chicks n Nari??? chic is DISHONEST BUT ATTRECTIVE AND THEY GENERALLY DECEIVE PEOPLE.            ,            'CHICks' often use their assets as means of deceit to get what they want            
Coagulate,thicken; congeal; clot,"            Colgate - think about the ""thick"" paste            ","Powered by Mnemonic Dictionary            congeal- geal resembles gel,,ie this gel is a coagulant.            ",            the use of colgate toothpaste strengthens oue teeth without germs            
Coda,"concluding section of a musical or literary composition;summarizes or concludes","            ie ,conclusive part of the lunch ,is done by soda(coda) by watching music on television.            ",            At the end of the musical performance everyone took pictures with their KODAk cameras.            ,            coda...imagine Devedas is drinking rum mixed with soda and listining paaro's song which she is about to end.            
Cogent,convincing,            cogent - gent - a gentle person  is always the right person to convince others.            ,            co+agent...cooperative agents make congent suggestions.            ,"            CO & GENT, two men (gents) joining together (co) in a team to persuade you, will be more 'powerfully persuasive' than just one gent.            "
Compendium,"brief, comprehensive summary",            CUM(hindi for less) PEN use karke u can just write summary of topic.            ,            An audience always wants that whoever COMES to speak on the PODIUM should speak briefly.            ,            Compendium=Compact Ending...!            
Complaisant,trying to please; overly polite; obliging,"            com + plais(please) + antcome and please the a(u)nt..lol            ","            FOCUS ON sant(saint!), who is  always obliging.             ",Powered by Mnemonic Dictionary            Complacent is self satisfied and Complaisant is a person who satisfies other people            
Compliant,yielding; conforming to requirements,            one who never complains and obeys everything is compliant !            ,            compli(comply)+ant(aunt)..TO comply with UR AUNT wishes or willings.            ,"            complain not I am yielding,ready for ur requirements            "
Conciliatory,reconciling; soothing,            Heyy thz sounds like CONSOLING...which means soothing...            ,"Powered by Mnemonic Dictionary            concil is pronouncing like council,in council elections the standing candidate wants to win the feelings of others            ","            Can remember this with the word reconcile. Once u have a fight with your friend, then you do something good to appease him....so as to get back to normal friendship (or you reconcile with him)So this can be taken as a conciliatory act.            "
Condone,overlook; forgive; give tacit approval; excuse,            if u use condom u will be forgiven by health and family welfare department            ,            condone = consideration + done ~ you do not consider STH anymore            ,            if you use condom(condone) you overlook baby            
Confound,confuse; puzzle,            CONfusion FOUND == CONFOUND            ,            CONFused + dumbFOUNDed            ,            con found: cannot be found => puzzle            
Connoisseur,person competent to act as a judge of art; a lover of art,"            (In Hindi Language) Connoisseur sounds like kaun inse sure nahi hoga, kaun nahi sure.. Ye to expert hai. He is connoisseur. He is EXPERT.            ","            in connoisseur  take ""nn"" and ""ss""  as two persons. theres a tie between them. so who is the winner? connoisseur should decide who is the winner. so he is a judge.             ",            Connoisseur is always SURE as he is an expert or a good judge            
Contention,claim; thesis,"            contention = contend is to compete, but contention has tension also, so a person cannot win a sport if he is full of tension.            ","            (IN HINDI) contention sounds like>> kaun tension le yaar, inke claim (or thesis) ko fact maan lo.            ",            CON + TENSION. YOU ARE IN TENSION WEN U ARGUE.            
Contentious,quarrelsome,            Contentious- (Contender+Serious) One who takes competition too serious always fights and quarrels)            ,Powered by Mnemonic Dictionary            Remember as non-contented. One who is not contented is always quarrelsome.            ,            contentious=content+tious(relate with malicious)..i.e. malicious content which pertains to argumentive or contravercial content..its so easy...right..?:)            
Contrite,penitent,"            SPLIT AS cont (COUNT) - rite (RIGHT). COUNT THE CASH RIGHT, ELSE YOU WILL REGRET IT.            ","            for being a conTRITE i.e lacking originality ,i REGRET            ",            can't(CONT) I did it right(RITE)... so regretful            
Conundrum,riddle; difficult problem,Powered by Mnemonic Dictionary            drum ke andar kaun hai            ,"            Hey this rock start got only one ""drum"", how he is going to do the show!! It's a difficult situation.            ",            o            
Converge,approach; tend to meet; come together,"            Co- togetherVerge- become one            ","            : in a CONVEx lens, light rays meet at a common point, and CONVERGEnce is a property of meeting at a common point            ",Powered by Mnemonic Dictionary            Converge (Sounds like COme aNd mERGE)            
Convoluted,coiled around; involved; intricate,Powered by Mnemonic Dictionary            Convolution theorem was very hard to understand!!            ,            volve is root which means to roll. con is prefix which means together.If you roll some thing completely (within it self) it becomes complicated!! and difficult to entangle it!             ,            Convoluted sounds similar to convalescent; and a convalescent home would require intricate and complicated medical care for its patients            
Craven,cowardly,            craven --  is the opposite of 'brave'.            ,            Craven sounds like Cita + RAVana => Ravana was a coward man!!! he proved it by taking away Cita/Sita in absence of Ram.            ,            craven - relate with cave + in. You hide in cave if your are coward (in a jungle)            
Daunt,intimidate; frighten,            daunt = haunt = if you are frightened you will be discouraged to go into the haunted house.            ,"Powered by Mnemonic Dictionary            this mnemonic is in hindi....daunt..sounds simillar to ""daant""(scolding) aur jab bhi daant padti hai we easily get disheartened and frightened.            ","            daunt sounds like DON'T,means som1 discouraging u            "
Decorum,propriety; orderliness and good taste in manners,"            ""decor um""; decor them to make them more proper and correct            ","            DECO (dekho) yaar, RUM pine ke baad, there is very little possibility that you will be in ORDERLINESS and GOOD MANNERS, CONDUCT.            ",Powered by Mnemonic Dictionary            decorum --  decoration . If something is decorated everything is in order and in good manner.            
Deference,courteous regard for another’s wishes,"            if there is no DIFFERENCE between you and him, then you will respect his wishes.              ",            sounds like REVERENCE            ,"            defeat+reverence.in battles we give reverence to even those who we defeat, hence deference toall.            "
Delineate,portray; depict; sketch,            Delineate = (Diligently and neatly) portrayed painting.              ,            FOCUS ON line IN DElineATE & RELATE WITH OUTLINE N PORTRAY            ,"Powered by Mnemonic Dictionary            delineate sounds like alienate, and if you are attacked by aliens, you would describe the event in vivid detail in order to make  people believe you!            "
Denigrate,blacken,"            focus on the 'nigrate' part of this word and relate it to 'nigger' (which means people who have black skin)no racism plz...            ","            DENIGRATE=DENY+GREAT.so if yu deny someone is great ,it means you BELITTLE him            ",            READ DENIGRATE AS DEGRADE...WHICH MEANS TO DEFAME OR PUT A BLACK BLOT ON SOMEONE.            
Deride,ridicule; make fun of,            de -ride -- riding a horse upside down.. ppl will make fun of you ( ridicule)            ,Powered by Mnemonic Dictionary            RIDE = RIDiculE            ,            DE(lower)RIDE(ride a cycle) if u ride a cycle of low quality        people will REDICULE u            
Desiccate,dry up,            desi cake is always dried up.            ,"            ""Desert Cake"": Cake that has been dried out and turned dull in taste.            ",Powered by Mnemonic Dictionary            Desi+cat is always dry because if she will be wet she will be called bheegi billi...remember 9xm.            
Desultory,aimless; haphazard; digressing at random,            De-result...Obviously a haphazard or desultory approach will result to nothing.            ,Powered by Mnemonic Dictionary            desultory think like de story-> moving away from the main story            ,            desult...de(means without)+sult(RESULT)+tory( a member of conservative party in britain known as TORY)....so if the tories DID NOT WIN ANY ELECTION THIS TIME becoz of their desultory attitude..or since they lacked any definate plan to win election..t            
Deterrent,Something that discourages; hindrance,            DETER + RENT. A high rent IS ALWAYS A discouraging factor FOR TENANTS.            ,"Powered by Mnemonic Dictionary            FOCUS ON rent OF DETERRENT.rent IS ALWAYS A HINDRANCE AND IS DISCOURAGING FOR TENANTS.            ","            [hindi] dete bola rent, nahi diya.. bechara discourage ho gaya, sala rent lene mein itne hindrances..            "
Dichotomy,split; branching into two parts (especially contradictory ones),            can be think as di + cut _ ... so dichotomy is cutting into two parts            ,            DICHO-'two'+TOMY-'cut' so CUT INTO TWO            ,"            FOCUS ON THE WORD dich(READ AS ditch).WHEN A FRIEND DITCHES U, U SPLIT WITH HIM HAVING CONTRADICTIONS.            "
Diffidence,Shyness,            it is like opposite of confidence means you are shy not confident            ,"            diffi means deficiency and relate ffidence with confidence so lack of confidence            ","Powered by Mnemonic Dictionary            This word sounds similar to Confidence but is opposite in meaning. So, Diffidence means lacking self-confidence.            "
Dirge,Lament with music,"            Dirge -  di means die, so when you die and have done good things for people in life, a song of grief or lament will be sung for you.            ",Powered by Mnemonic Dictionary            A dirge gives me da (the) urge to start crying.            ,            DIRGE sounds like DARD(pain)..song filled with DARD            
Disabuse,correct a false impression; undeceive,"Powered by Mnemonic Dictionary            story: like a girl fall in love with a rascal, and her father comes to know. what he will do is abuse the boy and disabuse the girl about the boy. simple naa.            ",            REMEMBER AS the opposite of abuse(use harsh words or create wrong impression).            ,            correcting a false impression without abusing so disabuse ;)            
Discerning,mentally quick and observant; having insight,"            READ IT AS di-screening. A DUAL SCREENING PERSON, WHO KEEPS ON SCREENING EVERYTHING AROUND TWICE( VERY OBSERVANT, ALERT)            ","            Discerning is similar to ""Discovering"". When you discover something you reveal something            ","            disCERNing thus, to go to CERN you should be discerning. be a quick perceiver and have good insight            "
Discordant,not harmonious; conflicting,"            FOCUS ON disco-RDANT. dISCOs ARE always inharmonious. same as cacophonous            ","Powered by Mnemonic Dictionary            dis+chord as in not a chord, so it is conflicting or harsh in sound            ","            Con+Cordant means ""with agreement"". Dis+Cordant means ""Without Agreement""            "
Discredit,defame; destroy confidence in; disbelieve,            U will give the credit card to that person whom u have confidence.Dis means  not having confidence            ,"            REMEMBER this word means, not to give credit, as opposed to credit (TO GIVE FAME OR CREDIT).            ",Powered by Mnemonic Dictionary             to reduce the credit's of some one!..            
Discrepancy,lack of consistency; difference,"Powered by Mnemonic Dictionary            break into dis+creep+fancy=this is creep and this is fancy what an inconsistency with this item .i.e fancy and creep are different            ","            dis + crep (crap)...if you think its crap, it will obviously lack consistency because your  opinions will differ from the others...so discrepancy.            ","            sounds like dis consistency            "
Disingenuous,lacking genuine candor; insincere,"            INGENUOUS(can be remembered as genuine) IS SINCERE, INNOCENT AND SOPHISTICATED.AND disingenuous IS not naive, insincere            ","Powered by Mnemonic Dictionary            This word is derived from the word ""Genuine"", which means true and real. Disingenuous is just the opposite of genuine.            ","            FOCUS ON sin IN THE WORD.CAN RELATE sin TO insincere OR sin TO liar(LIARS ARE NOT SINCERE)            "
Disinterested,unprejudiced,"Powered by Mnemonic Dictionary            Dis-Interest...if a particular issue is not of any interest to me (dis-interest), i'll pass a biased free opinion about it...            ","            Dis - Not +  Interested.The Judge was not interested in the case, so he was not bothered about the outcome; he was disinterested and unprejudiced towards the case.            ",            Disinterested = not having any self interest; unprejudiced            
Disparage,belittle,            dispa-rage can be read as display a  rage. When you display your RAGE on your juniors you BELITTLE them in front of the others.            ,"            dis-opposite, parage-praise   so if u don't praise 4 someone u criticize him.            ",            disparage~discourage : when you give negetive comments/opinions about the effort put by people around you they get DISCOURAGED!            
Disseminate,distribute; spread; scatter (like seeds),"Powered by Mnemonic Dictionary            dis + seminateseminate could be taken as seminar, so for a seminar people gather at a place.Hence disseminar could be understood as the scattering of people.            ","            Dis+seminate -Think of seminate as ""semen"". You use your semen to spread and disperse your genes to many random woman, especially when intoxicated            ","            dis+sem+i+n+ate:dis sem(semister) i not ate coz i distributed all my food to poor ppl....so it means distribute...spread...            "
Dissolution,disintegration; looseness in morals,"            dissolution is the opposite of resolution. When you make a resolution you make a promise, when you make a dissolution you BREAK or dissolve the promise!            ","            came from ""dissolve""when a thing dissolve into another ,it itself disintegrate...            ",            dissolution; dissolve some thing or terminate it..            
Dissonance,discord; opposite of harmony,            dis-sonance::DIS RESONANCE--not resonant....so not in harmony            ,"            Dissonance is opposite  of resonance, which is cacophonous, discordant.            ",            Dis + sonance (hormony) so something not hormonical and not pleasant..so discord..            
Distend,expand; swell out,            try to relate it with dis means distance and  extend means to expand.            ,Powered by Mnemonic Dictionary            This(DIS) Tent(TEND) can expand easily            ,"            dis(apart) + tend(stretch)So distend means to stretch apart or expand.            "
Divest,strip; deprive,            opposite to invest; di + vest; vest means an inner garment; divest is to remove it.            ,"            di + vest; (A vest is a type of collarless sleeveless upper-body garment. ); divest is to remove it.            ",            to see the vest's one need to strip the clothes..;)            
Dogmatic,opinionated; arbitrary; doctrinal,"            If you try to read ""dogmatic"" from back to front, you will get ""i am god"". the person who think that he is a god is arrogant and stubborn            ",            dogmatic=dogs+mat..dogs dont stay constantly on a mat...they always roam here and there....dogmatic means constant            ,"            Dog+matic..... Dogs once chase you, they will not leave you, until bits you!!!            "
Dormant,sleeping; lethargic; latent,"            see the word DORMant, DORM is a dormitory a place to sleep..so if you are sleeping you are inactive or lethargic..            ",            Dormant is like DoorMat which SLEEPS on the floor...so INACTIVE            ,"            dormant-""DOOR""+""MAN"" is mostly sleepy(inactive)...but becoms active if sumone comes...            "
Dupe,someone easily fooled,            duplicates(in movies) are used to fool people....            ,"Powered by Mnemonic Dictionary            DUPE sounds like dope means so ""to impure something"", means to cheat someone....            ",            dupe = [du]mmy+[pe]t ex. a fool dog            
Ebullient,showing excitement; overflowing with enthusiasm,            Your dad purchasing you a new 'Enfield Bullet' so you shpw ur 'Excitement' -> ebullient! :D            ,"            If u can think this word in a good sense, ""bulli"" is always showing exitement or overflows with enthu ,wen a hot gal passes            ",            it is close to jubilation...which is excitment            
Eclectic,"selective; composed of elements drawn from disparatesources","            eclectic or   elect means, chosing the best from many sources which is the meaning of the word eclectic            ",            nowadays even after the elections the governments formed are generally eclectic.composed of many parties            ,"            sounds like election, and in election only the best candidated are chosen !!            "
Efficacy,power to produce desired effect,            effic(EFFICIENT)+AC(Y)..so just check out if your AC has the efficiency to PRODUCE DESIRED cooling .            ,"            EFFICACY =  EFFI +  CACY  = EFFEct  producing  CApaCitY            ","            efficient+accuracy = efficacy;if sth is efficient and accurate,it does produce desire result            "
Effrontery,"impudence; shameless boldness; sheer nerve;presumptuousness",            for every discussion he comes to the FRONT and argues...in a rude manner.            ,            think she stepped IN FRONT OF ME. How dare she be so bold!            ,"            if u can remember the word effront, it brings to mind the rude soldiers who stand in front of the queen's palace .these people are generally rude .u try to talk to them or scold them,they dont even move ,so wen a person scolded continuosly and if he            "
Elegy,poem or song expressing lamentation,            E(a)-LEGY(legendry).....so if a legendry person dies......people sing a mournful poem or people lament or regret for his death.....            ,            sounds like eulogy...            ,            basically this is taken from a greek elegos which is a song of mourning .........and we mourn if someone dies            
Elicit,draw out by discussion,"            implicit - which is understood ..explicit - means specifically told/derivedso elicit - explicit            ","            implicit-which is understood ..explicit - means specifically told or written.. ELICIT means which is not specifically told or understood but WE HAVE TO DRIVE BY REASONING            ",Powered by Mnemonic Dictionary            saari baatein poochke ek list banani hai             
Embellish,"adorn; ornament; enhance, as a story",            emBELLish--we add BELL to the Christmas tress to adorn it             ,            belle is used to describe beautiful girls.. they generally adorn themselves            ,"            concentrate on the middle section of this word - belli (Belly), which is said to be one of the most sexiest part of the female body. So girls usually adorn it (by Belly Ring) to enhance its beauty.             "
Empirical,based on experience,            Empire...maintaining an empire requires much practical experiences and workouts....            ,"            empirical sounds like ""inspired frm practicals""...and dats the meaning..            ","            ""Empirical"" college of london is so famous becoz its professors are so ""EXPERIENCED ""            "
Emulate,imitate; rival,            Grandma gave me an 'Amulet' so that one day I can 'Emulate' Zidane.            ,"            He is like an EMU( a bird) when he eat(..ATE)...EMU+L+ATE..imitating the emu            ",            we use emulator as to imitate our cell phone software in computer.            
Endemic,"prevailing  among a specific group of people or in a specificarea or country",            simple think of epidemic as an epidemic desease that spreads a vast area and endemic disease as a disease that spreads only a confined area             ,            epidemic is something that is confined to vast area and endemic is confined to small area            ,"            end of(demic)democracy-this characteristic,nw a days,is confined to a very little no of countries..            "
